RELTRAD CCES Verification Counts (Unweighted N)
===============================================
Use these counts to verify your reltrad coding is correct after
sourcing the appropriate reltradXX.R script for each year.

Note: Odd years (2009, 2011, 2013, 2015, 2017, 2019, 2021, 2023, 2025)
      are smaller pilot/panel studies. Even years are the main CCES surveys.
Note: 2010 has 0 Atheists — that category was not available in the 2010 CCES.

--- Protestant & Catholic Traditions ---

Year   WEvan  NWEvan   Main  BlkProt  WCath  NWCath    LDS   Orth
----   -----  ------   ----  -------  -----  ------    ---   ----
2008    6074    1020   4841      385   5601    1464    628    159
2009    2277     601   1774      588   1968     945    241     59
2010    8836    2444   8825     2593   9278    3254    922    271
2011    3512     855   2933      794   3181     984    318     89
2012    9039    2341   8037     2675   8499    3078    893    238
2013    2648     711   2201      591   2397     839    245     96
2014    8491    2292   7268     2622   8833    2971    843    303
2015    2411     662   1722      596   1988     791    194     53
2016    9111    2721   7608     2690   9873    3865    860    351
2017    2723     996   2137      654   2208    1396    268     93
2018    9278    2165   7171     1762   8185    3168    812    284
2019    2868    1010   2063      591   2180    1154    248    103
2020    8759    2533   6955     1925   7811    3208    742    332
2021    3595    1328   2741      913   2946    1668    287    136
2022    8221    2707   6521     2142   7401    3290    686    359
2023    3367    1223   1731      903   3047    2144    238    156
2024    8602    2837   6478     2149   7267    3294    608    298
2025    2305     916   1597      551   2011    1390    156    120

--- Other Religions & Nones ---

Year    Jew    Mus    Bud    Hin    Ath    Agn    NiP   Uncl
----    ---    ---    ---    ---    ---    ---    ---   ----
2008    692    100    211     43   1102   1562   4012   4906
2009    242     54     81     15    486    599   2056   1814
2010   1660    163    450     87      0   2869   7592   6156
2011    498     82    165     46    841    981   2928   1943
2012   1268    170    414     93   2143   2412   7699   5536
2013    444     94    129     48    858    828   2802   1469
2014   1421    264    461    179   2751   2896   9362   5243
2015    310     67     99     33    855    796   2486   1187
2016   1527    431    603    298   3956   3832  11165   5709
2017    418    139    150     42   1209   1040   3233   1494
2018   1458    329    522    214   4001   3887  11087   5677
2019    467    109    132     69   1237   1122   3253   1394
2020   1538    431    558    219   4537   3814  12489   5149
2021    635    201    217     81   1819   1655   5311   2167
2022   1569    513    536    208   4329   3988  12316   5214
2023    545    343    250    107   1490   1353   5046   2557
2024   1469    408    504    202   4492   4200  11456   5736
2025    400    187    185     88    960    946   3384   1804
