RELTRAD GSS Verification Counts (Unweighted N)
===============================================
Use these counts to verify your reltrad coding is correct.
Columns: Evangelical | Mainline | Black Protestant | Catholic | Jewish | Other Faith | Nonaffiliated

Note: 1982 and 1987 have large Black Protestant counts due to GSS oversamples of Black Americans.
Note: 1994 and 2006 have larger overall Ns due to GSS oversampling those years.

Year   Evan   Main   BlkProt  Cath   Jew   Other  Nonaff
----   ----   ----   -------  ----   ---   -----  ------
1972    291    467      213    413    54      60      83
1973    314    427      136    388    42      56      96
1974    331    431      133    376    44      31     101
1975    319    461      126    363    23      41     113
1976    345    421      103    390    27      49     114
1977    349    444      138    373    35      48      93
1978    364    423      131    384    29      51     119
1980    357    399      105    362    32      72     105
1982    358    450      366    399    38      56     132
1983    357    412      121    439    43      83     117
1984    394    322      123    375    27      74     107
1985    434    334      110    408    32      71     109
1986    401    301      130    380    38      85      98
1987    433    341      379    376    21     103     121
1988    404    289      125    384    30      91     118
1989    409    334      116    386    23      82     120
1990    348    322      109    327    27      79     109
1991    427    310      143    386    32      83     102
1993    478    321      121    351    33      87     146
1994    787    589      237    759    59     200     274
1996    732    549      261    685    68     199     339
1998    710    483      230    705    50     128     396
2000    673    470      262    679    63     153     398
2002    644    463      236    673    48     159     379
2004    745    410      208    656    55     179     403
2006   1088    627      366   1115    78     229     739
2008    480    283      153    470    39     128     332
2010    484    275      166    482    37     103     363
2012    501    250      136    444    28     109     387
2014    582    315      170    606    40     153     522
2016    679    303      208    649    51     156     620
2018    534    277      162    493    39     132     542
2021    715    470      169    824    76     270    1121
2022    609    354      196    744    61     252     977
2024    622    308      212    649    46     276     876
